day,voucher,direction,lag_ticks,corr
1,VEV_4000,same_tick,0,0.006450845091032479
1,VEV_4000,hydro_leads_voucher,1,0.0035969324267801084
1,VEV_4000,voucher_leads_hydro,1,0.0008558744173680814
1,VEV_4000,hydro_leads_voucher,2,-0.0023233392257283572
1,VEV_4000,voucher_leads_hydro,2,-0.007895745212028259
1,VEV_4000,hydro_leads_voucher,5,0.011468163064486106
1,VEV_4000,voucher_leads_hydro,5,-0.008358948864427094
1,VEV_4000,hydro_leads_voucher,10,0.0038749909059454775
1,VEV_4000,voucher_leads_hydro,10,-0.0004500713629645503
1,VEV_4000,hydro_leads_voucher,20,-0.0018777480531432646
1,VEV_4000,voucher_leads_hydro,20,0.004136715593702925
1,VEV_4000,hydro_leads_voucher,50,-0.006308826824455093
1,VEV_4000,voucher_leads_hydro,50,-0.01001017365763859
1,VEV_4000,hydro_leads_voucher,100,-0.0017436495481032003
1,VEV_4000,voucher_leads_hydro,100,0.011045855201521444
1,VEV_4500,same_tick,0,0.0019249019883491082
1,VEV_4500,hydro_leads_voucher,1,-0.0009594244629473455
1,VEV_4500,voucher_leads_hydro,1,0.007980167812431485
1,VEV_4500,hydro_leads_voucher,2,-0.0019430937846133536
1,VEV_4500,voucher_leads_hydro,2,-0.014072121534163007
1,VEV_4500,hydro_leads_voucher,5,0.014159765706347662
1,VEV_4500,voucher_leads_hydro,5,-0.0142673343994279
1,VEV_4500,hydro_leads_voucher,10,0.009218269651273285
1,VEV_4500,voucher_leads_hydro,10,-0.005713051774631299
1,VEV_4500,hydro_leads_voucher,20,-0.004750392060543875
1,VEV_4500,voucher_leads_hydro,20,0.002764493732213609
1,VEV_4500,hydro_leads_voucher,50,-0.008186459140547388
1,VEV_4500,voucher_leads_hydro,50,-0.010691284365743762
1,VEV_4500,hydro_leads_voucher,100,-0.0077757107251158475
1,VEV_4500,voucher_leads_hydro,100,0.01373283083799119
1,VEV_5000,same_tick,0,0.00205232827698518
1,VEV_5000,hydro_leads_voucher,1,-0.0034566728170612343
1,VEV_5000,voucher_leads_hydro,1,0.003010359347450002
1,VEV_5000,hydro_leads_voucher,2,0.0018519621869344033
1,VEV_5000,voucher_leads_hydro,2,-0.002925944229932778
1,VEV_5000,hydro_leads_voucher,5,0.018428340586861536
1,VEV_5000,voucher_leads_hydro,5,-0.018800342829890945
1,VEV_5000,hydro_leads_voucher,10,-0.0016250171287123295
1,VEV_5000,voucher_leads_hydro,10,-0.005779325323986901
1,VEV_5000,hydro_leads_voucher,20,-0.01453398911519029
1,VEV_5000,voucher_leads_hydro,20,-0.0009291549689318878
1,VEV_5000,hydro_leads_voucher,50,-0.0003958608516494939
1,VEV_5000,voucher_leads_hydro,50,-0.012096353960914977
1,VEV_5000,hydro_leads_voucher,100,-0.008045883414320623
1,VEV_5000,voucher_leads_hydro,100,0.0032820274252464143
1,VEV_5100,same_tick,0,0.0021438435368771806
1,VEV_5100,hydro_leads_voucher,1,-0.0037795346575060815
1,VEV_5100,voucher_leads_hydro,1,0.007069689724536994
1,VEV_5100,hydro_leads_voucher,2,-0.002111020391009278
1,VEV_5100,voucher_leads_hydro,2,-0.009527734803418217
1,VEV_5100,hydro_leads_voucher,5,0.010700510309254925
1,VEV_5100,voucher_leads_hydro,5,-0.013459334142814451
1,VEV_5100,hydro_leads_voucher,10,0.002598269146628638
1,VEV_5100,voucher_leads_hydro,10,-0.0032628835244390294
1,VEV_5100,hydro_leads_voucher,20,-0.006770833633573551
1,VEV_5100,voucher_leads_hydro,20,-0.0021148381796149023
1,VEV_5100,hydro_leads_voucher,50,-0.003705032809215138
1,VEV_5100,voucher_leads_hydro,50,-0.009291692598683912
1,VEV_5100,hydro_leads_voucher,100,-0.0021884964399749816
