day,voucher,n_big_hydro_up,n_big_hydro_down,avg_voucher_fwd10_after_big_hydro_up,avg_voucher_fwd10_after_big_hydro_down,avg_voucher_fwd50_after_big_hydro_up,avg_voucher_fwd50_after_big_hydro_down
1,VEV_4000,447,450,0.09417040358744394,-0.061247216035634745,-0.05981941309255079,0.06935123042505593
1,VEV_4500,447,450,0.16928251121076232,-0.0378619153674833,-0.03837471783295711,0.053691275167785234
1,VEV_5000,447,450,0.11547085201793722,-0.014476614699331848,-0.04288939051918736,0.03691275167785235
1,VEV_5100,447,450,0.0930493273542601,-0.0077951002227171495,-0.09367945823927765,0.007829977628635347
1,VEV_5200,447,450,0.05493273542600897,-0.0066815144766146995,-0.03724604966139955,0.008948545861297539
1,VEV_5300,447,450,0.03923766816143498,0.015590200445434299,-0.046275395033860044,0.005592841163310962
1,VEV_5400,447,450,0.004484304932735426,0.0022271714922048997,-0.039503386004514675,-0.02237136465324385
1,VEV_5500,447,450,0.01233183856502242,0.01002227171492205,-0.0056433408577878106,-0.005592841163310962
1,VEV_6000,447,450,0.0,0.0,0.0,0.0
1,VEV_6500,447,450,0.0,0.0,0.0,0.0
2,VEV_4000,470,504,0.16489361702127658,0.0248015873015873,0.28251599147121537,0.13916500994035785
2,VEV_4500,470,504,0.1829787234042553,0.030753968253968252,0.2857142857142857,0.16401590457256462
2,VEV_5000,470,504,0.16489361702127658,0.051587301587301584,0.2537313432835821,0.15606361829025844
2,VEV_5100,470,504,0.1351063829787234,0.020833333333333332,0.21215351812366737,0.12922465208747516
2,VEV_5200,470,504,0.0797872340425532,0.02976190476190476,0.1439232409381663,0.110337972166998
2,VEV_5300,470,504,0.031914893617021274,0.007936507936507936,0.0255863539445629,0.007952286282306162
2,VEV_5400,470,504,-0.006382978723404255,0.02976190476190476,0.02025586353944563,0.033797216699801194
2,VEV_5500,470,504,0.023404255319148935,-0.010912698412698412,0.013859275053304905,-0.0009940357852882703
2,VEV_6000,470,504,0.0,0.0,0.0,0.0
2,VEV_6500,470,504,0.0,0.0,0.0,0.0
3,VEV_4000,471,499,-0.017057569296375266,0.1227364185110664,-0.2692307692307692,-0.5111336032388664
3,VEV_4500,471,499,-0.0255863539445629,0.09859154929577464,-0.3173076923076923,-0.5080971659919028
3,VEV_5000,471,499,0.0010660980810234541,0.09557344064386318,-0.3162393162393162,-0.507085020242915
3,VEV_5100,471,499,-0.01812366737739872,0.0744466800804829,-0.3002136752136752,-0.4868421052631579
3,VEV_5200,471,499,-0.015991471215351813,0.04627766599597585,-0.25,-0.3917004048582996
3,VEV_5300,471,499,-0.029850746268656716,0.014084507042253521,-0.16880341880341881,-0.2651821862348178
3,VEV_5400,471,499,-0.010660980810234541,-0.007042253521126761,-0.09081196581196581,-0.11639676113360324
3,VEV_5500,471,499,-0.031982942430703626,0.007042253521126761,-0.03311965811965812,-0.05060728744939271
3,VEV_6000,471,499,0.0,0.0,0.0,0.0
3,VEV_6500,471,499,0.0,0.0,0.0,0.0
