day,voucher,same_tick_change_corr,hydro_change_std,voucher_change_std,nonzero_voucher_change_rate
1,VEV_4000,0.006450845091032479,2.1483227329392687,1.4353859633047963,0.723072307230723
1,VEV_4500,0.0019249019883491082,2.1483227329392687,1.2669813911217471,0.725072507250725
1,VEV_5000,0.00205232827698518,2.1483227329392687,0.9845383691628224,0.7093709370937094
1,VEV_5100,0.0021438435368771806,2.1483227329392687,0.8508338386476715,0.7022702270227023
1,VEV_5200,0.015299613712999646,2.1483227329392687,0.6891258875189387,0.570957095709571
1,VEV_5300,0.0028706855038135456,2.1483227329392687,0.498246324477129,0.41854185418541856
1,VEV_5400,0.0003459479525917814,2.1483227329392687,0.2687739670965693,0.279027902790279
1,VEV_5500,0.009050645427828975,2.1483227329392687,0.17750011621757142,0.12031203120312031
1,VEV_6000,,2.1483227329392687,0.0,0.0
1,VEV_6500,,2.1483227329392687,0.0,0.0
2,VEV_4000,-0.00807253597373671,2.169928963892751,1.4131938508625408,0.7397739773977398
2,VEV_4500,-0.0013567308138402593,2.169928963892751,1.248450480559061,0.7461746174617462
2,VEV_5000,0.004764398796762073,2.169928963892751,0.991672657548662,0.7318731873187319
2,VEV_5100,-0.000261385889012982,2.169928963892751,0.8813201926939547,0.7071707170717072
2,VEV_5200,0.006166001787949065,2.169928963892751,0.6970975102255997,0.5953595359535954
2,VEV_5300,0.008275520796462455,2.169928963892751,0.49989971986487625,0.42284228422842285
2,VEV_5400,0.008094591598938461,2.169928963892751,0.26479035627747965,0.2684268426842684
2,VEV_5500,-0.008828199359263622,2.169928963892751,0.16577241507099325,0.10481048104810481
2,VEV_6000,,2.169928963892751,0.0,0.0
2,VEV_6500,,2.169928963892751,0.0,0.0
3,VEV_4000,-0.0010030788761652256,2.188551452774936,1.5055604864565444,0.7352735273527353
3,VEV_4500,0.0005029105855393988,2.188551452774936,1.313632292320508,0.736973697369737
3,VEV_5000,-0.005288324715571353,2.188551452774936,1.0093263503593204,0.7221722172217222
3,VEV_5100,-0.005314039572389959,2.188551452774936,0.8883252899494603,0.6817681768176818
3,VEV_5200,-0.007035669257628199,2.188551452774936,0.6546649618636722,0.6496649664966496
3,VEV_5300,-0.014343353591531601,2.188551452774936,0.43419749477489084,0.4221422142214221
3,VEV_5400,0.007083728252243395,2.188551452774936,0.22573865721947173,0.1858185818581858
3,VEV_5500,0.013841577711495256,2.188551452774936,0.12875563316749078,0.05880588058805881
3,VEV_6000,,2.188551452774936,0.0,0.0
3,VEV_6500,,2.188551452774936,0.0,0.0
