voucher,pooled_level_corr,pooled_same_tick_change_corr,pooled_nonzero_voucher_change_rate,best_abs_direction,best_abs_lag_ticks,best_abs_corr
VEV_5400,-0.2161067437205286,0.005057319119927737,0.2444244424442444,voucher_leads_hydro,5.0,-0.0135787260728216
VEV_5500,-0.23617235282205665,0.004044502110371885,0.09464279761309465,hydro_leads_voucher,1.0,-0.013146650779254225
VEV_5100,-0.20420055163315776,-0.0012132760237462013,0.697069706970697,voucher_leads_hydro,2.0,-0.012086926079738101
VEV_5200,-0.2269306546909404,0.0049474183786771255,0.6053271993866053,voucher_leads_hydro,5.0,-0.01105627569364334
VEV_4500,-0.185062697662317,0.000364500159961753,0.7360736073607361,hydro_leads_voucher,100.0,-0.010605215634076086
VEV_5300,-0.19283523489248164,-0.0005048663810747838,0.4211754508784212,voucher_leads_hydro,10.0,-0.010353939851662696
VEV_4000,-0.18517854022805752,-0.0008625454828295009,0.7327066039937327,hydro_leads_voucher,100.0,-0.009746512308657258
VEV_5000,-0.1961950827886619,0.00045222243659364655,0.7211387805447211,voucher_leads_hydro,5.0,-0.009043376466006846
VEV_6000,,,0.0,,,
VEV_6500,,,0.0,,,
