timestamp;buyer;seller;symbol;currency;price;quantity
5300;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5007.0;2
6500;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;3
8000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4994.0;4
8100;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5008.0;2
8600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4995.0;5
8800;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5008.0;5
13400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4990.0;5
14400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4989.0;2
16300;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;4
16500;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;5
17600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5007.0;5
18000;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5006.0;2
19400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5005.0;5
20400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4992.0;4
25100;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4988.0;2
25500;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5002.0;2
25600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5003.0;5
27900;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;3
29500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4992.0;4
30500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4990.0;4
34800;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;8
34900;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4998.0;2
42800;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4983.0;5
49500;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;4
49900;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;6
50300;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4994.0;3
52200;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;8
52400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4980.0;2
54700;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;4
56200;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4979.0;3
57500;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;5
58700;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;8
59600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4991.0;4
60800;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4991.0;5
62200;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;4
63600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4980.0;3
64400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4992.0;4
66800;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4973.0;4
67100;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;5
69700;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4987.0;2
72500;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;8
74100;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4973.0;4
75100;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;3
76000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4971.0;4
77300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4970.0;3
79600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4982.0;5
83600;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;7
84200;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4980.0;3
87500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4974.0;5
88200;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4965.0;4
90200;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4967.0;4
91100;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4969.0;2
95800;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4976.0;5
97800;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4979.0;3
98000;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;4
103000;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;8
103100;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4999.0;4
104300;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;3
104300;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5000.0;3
106300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4987.0;3
107200;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5000.0;5
107500;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;6
108300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4984.0;3
111500;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4996.0;5
111500;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4998.0;1
111700;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;8
113800;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4985.0;5
114500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4983.0;2
114600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4984.0;4
115100;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4997.0;4
116000;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4995.0;3
119000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4978.0;4
119200;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4978.0;3
120100;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4992.0;4
122600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4991.0;2
124500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4977.0;2
125400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4977.0;3
126300;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;8
128200;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;3
129600;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;6
131000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4975.0;2
131300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4975.0;4
132400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4976.0;3
135000;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;8
138000;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4994.0;5
138800;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;6
140000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4979.0;3
141500;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4994.0;5
143000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4980.0;2
143800;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;3
144000;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4991.0;3
145300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4973.0;5
151300;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;4
151900;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4987.0;3
151900;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4981.0;1
153200;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;6
154000;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;7
155300;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;3
156100;BOT_MAKER;BOT_TAKER;EMERALDS;XIRECS;9992.0;6
156500;BOT_TAKER;BOT_MAKER;EMERALDS;XIRECS;10008.0;5
